design_id,overall_plddt,binder_plddt,ptm,iptm,ranking_score,has_clash,pae_binder_vs_chain1
5XH3_5XH3_1_model_0_1,0.8662,0.87,0.8882240056991577,0.831839382648468,0.8431,False,2.06
5XH3_5XH3_1_model_0_2,0.7337,0.74,0.4562321603298187,0.4443471133708954,0.4467,False,9.71
5XH3_5XH3_1_model_0_3,0.8436,0.85,0.8524110317230225,0.7806947231292725,0.795,False,2.89
